               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.082362,            0.026375,                   0,              0.4129,             0.49342,             0.35473,             0.12559,             0.01525,           0.0022256,                   0,            0.070043,           0.0033285,           0.0033285
                   1,             0.05854,            0.018214,                   0,             0.57286,             0.61184,             0.57996,             0.27714,            0.012602,           0.0011783,                   0,            0.039977,           0.0065959,           0.0065959
                   2,             0.05472,            0.017264,                   0,             0.68449,             0.63816,             0.66162,              0.3246,            0.011392,           0.0012356,                   0,           0.0098453,           0.0097973,           0.0097973
                   3,            0.051349,            0.016552,                   0,             0.70807,             0.59211,             0.59568,             0.27792,            0.011181,          0.00082013,                   0,            0.009703,            0.009703,            0.009703
                   4,             0.04736,            0.016759,                   0,             0.67344,             0.59211,             0.62995,             0.34338,            0.010266,           0.0010863,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.045809,            0.016201,                   0,             0.80116,             0.66272,             0.73234,             0.37145,            0.010169,          0.00071565,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.043937,            0.015417,                   0,             0.71648,                0.75,             0.76885,             0.39953,            0.010352,          0.00099492,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.042787,            0.015713,                   0,             0.79704,             0.72368,             0.78158,             0.45617,           0.0086632,          0.00081213,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.041987,            0.014592,                   0,             0.79732,             0.69737,             0.75982,             0.44428,           0.0093756,          0.00097006,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.040621,            0.014838,                   0,             0.79146,             0.77405,             0.78361,              0.4464,           0.0093473,          0.00067035,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.040339,            0.014822,                   0,             0.75623,             0.69737,             0.76795,              0.4466,           0.0089467,           0.0010891,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.038979,            0.014429,                   0,              0.8062,             0.73897,             0.81189,             0.48589,           0.0085331,          0.00080455,                   0,             0.00901,             0.00901,             0.00901
                  12,             0.03837,             0.01451,                   0,             0.80482,             0.78674,             0.83398,             0.46545,           0.0087341,          0.00084298,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.037878,             0.01405,                   0,             0.72864,             0.68421,             0.70345,             0.43645,           0.0083543,           0.0012857,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.037135,            0.014191,                   0,             0.81396,             0.80921,             0.80457,             0.49724,           0.0083542,          0.00078236,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.036599,            0.013557,                   0,             0.84188,             0.80564,              0.8213,             0.50655,           0.0081629,          0.00081254,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.036411,            0.014131,                   0,             0.80288,             0.74342,             0.81366,             0.47322,           0.0086817,          0.00070886,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.035839,            0.013825,                   0,             0.84982,             0.76974,             0.83979,             0.48406,           0.0084592,          0.00056139,                   0,            0.008416,            0.008416,            0.008416
                  18,             0.03532,            0.013242,                   0,             0.78682,             0.75274,             0.80507,             0.47919,            0.008411,           0.0007941,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.035501,            0.013519,                   0,             0.86579,             0.79605,             0.85651,             0.49857,           0.0081669,          0.00054646,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.034406,             0.01312,                   0,             0.81488,             0.77632,             0.82258,             0.50993,           0.0079047,          0.00072532,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.033913,             0.01332,                   0,             0.73253,                0.75,             0.77114,             0.47593,           0.0082957,          0.00097834,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.033731,            0.012876,                   0,             0.87401,             0.77632,             0.82207,             0.51062,           0.0081452,          0.00058531,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.033597,            0.013149,                   0,             0.81854,             0.83553,             0.84793,             0.53134,           0.0079858,           0.0005288,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.033163,            0.012829,                   0,             0.85589,             0.76316,              0.8238,              0.5233,           0.0080872,          0.00058195,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.033652,            0.012949,                   0,             0.88553,             0.78289,             0.86175,             0.54226,           0.0076987,          0.00056468,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.032773,            0.012481,                   0,             0.89062,             0.79605,             0.85956,             0.54918,           0.0076368,          0.00060768,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.032557,            0.012619,                   0,             0.87134,             0.80202,             0.86862,             0.55284,           0.0077635,          0.00055381,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.032974,            0.012487,                   0,             0.81261,             0.73684,             0.82079,             0.51761,           0.0080626,          0.00072499,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.032177,            0.012588,                   0,              0.8053,             0.81579,             0.85779,              0.5293,           0.0077051,          0.00066455,                   0,            0.007228,            0.007228,            0.007228
